data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia
10/07/2024,36.9,17.9,92.0,0.5,0
11/07/2024,3.61,15.83,75.74,0.69,0
14/07/2024,15.65,17.61,73.13,1.71,0
15/07/2024,0.0,15.54,79.68,1.84,0
17/07/2024,10.04,16.28,75.03,0.99,0
17/07/2024,0.92,17.27,86.43,0.76,0
19/07/2024,3.57,18.53,81.09,0.79,0
19/07/2024,0.0,20.75,76.22,1.89,0
20/07/2024,0.0,14.29,72.91,1.61,0
26/07/2024,19.16,16.28,86.37,1.35,1
26/07/2024,0.0,22.06,73.12,2.15,0
29/07/2024,0.0,16.92,67.77,1.8,0
31/07/2024,3.62,18.15,68.99,2.25,0
31/07/2024,14.06,17.29,83.5,2.05,0
31/07/2024,0.0,16.22,76.73,1.04,0
01/08/2024,7.07,19.38,76.13,1.05,0
01/08/2024,6.61,19.54,79.63,1.24,1
01/08/2024,8.22,19.04,61.43,1.29,0
05/08/2024,10.05,15.54,94.66,0.5,1
08/08/2024,10.83,17.55,90.52,1.33,0
10/08/2024,43.8,11.3,86.0,0.5,0
11/08/2024,2.3,13.8,54.8,0.8,0
13/08/2024,0.0,17.73,75.56,1.51,0
15/08/2024,0.0,18.91,72.82,1.7,0
15/08/2024,20.18,12.28,100.37,1.02,0
17/08/2024,26.77,17.27,94.37,0.0,0
18/08/2024,14.78,20.45,83.41,0.94,0
19/08/2024,0.0,12.6,50.57,0.81,0
22/08/2024,0.0,17.57,61.3,0.92,0
26/08/2024,0.3,18.72,73.4,1.23,0
29/08/2024,46.94,10.79,85.64,1.08,0
09/11/2024,42.3,18.1,86.8,1.2,1
21/12/2024,32.4,23.2,90.0,0.8,1
22/12/2024,20.8,23.7,79.3,1.1,1
23/12/2024,18.54,26.53,83.58,1.2,1
26/12/2024,31.4,21.9,90.0,1.0,1
27/12/2024,28.18,17.86,79.23,0.71,1
27/12/2024,62.8,22.3,89.5,0.8,1
17/01/2025,32.08,22.16,91.07,0.7,1
04/02/2025,47.06,23.81,87.77,1.03,1
17/02/2025,48.55,22.69,83.27,0.83,1
